Third Generation Homogenized Temperature for Canada  - Update to December 2019.,,,,,,,,,,,,,
Troisième génération de températures homogénéisées pour le Canada - Mise à jour décembre 2019.,,,,,,,,,,,,,
No,StnId,Station name,Prov,FromYear,FromMonth,ToYear,ToMonth,%Miss,Lat(deg),Long(deg),Elev(m),Joined,RCS
65,1094948,MCBRIDE,BC,1922,5,2009,3,10.1,53.4,-120.3,73,y,n
66,1124980,MCCULLOCH,BC,1936,1,1996,2,2.8,49.8,-119.2,125,n,n
67,1065010,MCINNES_ISLAND,BC,1955,1,2019,12,4,52.2,-128.7,2,n,y
68,1125079,MERRITT,BC,1962,5,2019,12,3.8,50.1,-120.8,60,y,n
69,1175122,MICA_DAM,BC,1951,6,2019,12,17.7,52,-118.5,57,n,n
70,1195250,MUNCHO_LAKE_A,BC,1970,5,2014,3,8.6,58.9,-125.7,83,n,n
71,1145297,NAKUSP,BC,1964,9,2019,12,6.7,50.2,-117.8,51,y,y
72,1025369,NANAIMO_A,BC,1892,1,2019,12,7,49,-123.8,2,y,n
73,1025C70,NANAIMO_DEPARTURE_BA,BC,1913,1,1992,11,9.5,49.2,-123.9,0,n,n
74,1075384,NASS_CAMP,BC,1973,9,2017,12,5.9,55.2,-129,19,n,n
75,1145442,NELSON,BC,1904,1,2019,12,6.3,49.5,-117.2,57,y,n
76,1145460,NEW_DENVER,BC,1967,5,2019,12,3.3,50,-117.3,56,n,n
77,1075520,NEW_HAZELTON,BC,1914,8,1976,8,4.1,55.2,-127.6,31,n,n
78,1106178,NEW_WESTMINSTER,BC,1874,9,2019,12,19.5,49.2,-122.6,0,y,n
79,1065670,OCEAN_FALLS,BC,1924,1,1986,11,3.5,52.3,-127.6,0,n,n
80,1125700,OKANAGAN_CENTRE,BC,1926,1,2019,10,4.8,50,-119.4,37,n,n
81,1125760,OLIVER,BC,1938,6,2008,10,2.4,49.1,-119.5,31,n,n
82,1125766,OLIVER_STP,BC,1955,1,2019,12,1.6,49.1,-119.5,29,n,n
83,1085836,OOTSA_LAKE_SKINS_LAK,BC,1926,1,2019,12,1.2,53.7,-126,86,y,y
84,1125852,OSOYOOS,BC,1954,4,2019,12,9.7,49,-119.4,28,y,n
85,1035940,PACHENA_POINT,BC,1924,11,2019,12,2,48.7,-125.1,3,n,n
86,1086082,PEMBERTON_AIRPORT_CS,BC,1912,8,2019,12,8.1,50.3,-122.7,20,y,n
87,1126146,PENTICTON,BC,1907,4,2019,12,0.8,49.4,-119.6,34,y,n
88,1106180,PITT_POLDER,BC,1954,1,2010,6,4,49.2,-122.6,0,n,n
89,1036240,PORT_ALICE,BC,1956,1,2016,4,4.4,50.3,-127.4,2,n,n
90,1026271,PORT_HARDY,BC,1944,5,2019,12,0.3,50.6,-127.3,2,y,y
91,1046392,POWELL_RIVER,BC,1924,1,2019,12,5.3,49.8,-124.5,12,y,n
92,1046391,POWELL_RIVER_A,BC,1954,1,2019,12,9.9,49.8,-124.5,13,n,n
93,1096453,PRINCE_GEORGE,BC,1912,8,2019,12,0.8,53.8,-122.6,68,y,y
94,1066482,PRINCE_RUPERT,BC,1908,8,2019,12,1.7,54.2,-130.4,3,y,n
95,112FN0M,PRINCETON,BC,1893,7,2019,12,2.4,49.4,-120.5,69,y,y
96,1036572,QUATSINO,BC,1895,6,2019,12,5.2,50.4,-128,2,y,y
97,1096631,QUESNEL,BC,1899,1,2019,12,0.8,53,-122.5,54,y,y
98,1026639,QUINSAM_RIVER,BC,1958,7,2018,12,1.2,50,-125.3,4,y,n
99,1176755,REVELSTOKE,BC,1898,5,2019,12,7.3,50.9,-118.1,44,y,y
100,1016940,SAANICHTON_CDA,BC,1914,3,2019,7,0.6,48.6,-123.4,6,n,n
101,1167337,SALMON_ARM,BC,1911,7,2019,12,1.1,50.5,-119.3,41,y,n
102,1016995,SALTSPRING_,BC,1909,11,2019,12,1,48.8,-123.5,4,y,n
103,1057051,SANDSPIT,BC,1945,9,2019,12,4.2,53.2,-131.8,0,y,y
104,1017099,SATURNA_CAPMON,BC,1989,6,2019,12,3,48.7,-123.1,17,y,y
105,1017230,SHAWNIGAN_LAKE,BC,1913,4,2019,12,0.6,48.6,-123.6,15,n,n
106,1077501,SMITHERS,BC,1922,6,2019,12,1.1,54.8,-127.1,51,y,y
107,1147620,SOUTH_SLOCAN,BC,1940,10,2008,12,9.1,49.4,-117.5,45,n,n
108,10476F0,SQUAMISH,BC,1983,4,2019,12,4.2,49.7,-123.1,5,y,n
109,1107680,STAVE_FALLS,BC,1909,10,2004,8,11,49.2,-122.3,11,n,n
110,1067748,STEWART,BC,1910,9,2019,12,6,55.9,-129.9,0,y,n
111,112G8L1,SUMMERLAND,BC,1907,7,2019,12,0.3,49.5,-119.6,45,y,y
112,1088015,TATLAYOKO_LAKE,BC,1930,1,2019,12,2.1,51.6,-124.4,87,y,y
113,1068134,TERRACE,BC,1912,10,2019,12,2.6,54.4,-128.5,21,y,n
114,1038205,TOFINO_A,BC,1958,12,2019,12,0.7,49,-125.7,2,n,n
115,1038332,UCLUELET_KENNEDY_CAM,BC,1988,9,2019,12,1.7,48.9,-125.5,4,n,n
116,1108380,VANCOUVER,BC,1896,2,2019,12,0.3,49.1,-123.1,0,y,y
117,1108446,VANCOUVER_HARBOUR_CS,BC,1898,10,2019,12,19.6,49.3,-123.1,0,y,n
118,1168520,VAVENBY,BC,1913,4,2019,12,1.8,51.5,-119.7,44,n,y
119,1128582,VERNON,BC,1900,4,2019,12,0.6,50.2,-119.2,48,y,y
120,1128553,VERNON_BELLA_VISTA,BC,1919,12,2017,12,22.4,50.2,-119.3,42,y,n
121,1018621,VICTORIA,BC,1898,8,2019,12,0.3,48.6,-123.4,2,y,n
122,1018611,VICTORIA_GONZALES_CS,BC,1995,2,2019,12,1.2,48.4,-123.3,6,n,n
123,1018598,VICTORIA_UNIVERSITY_,BC,1992,12,2019,12,0.5,48.4,-123.3,6,n,y
124,1148705,WARFIELD,BC,1928,6,2019,12,6.9,49.1,-117.7,56,y,y
125,1158730,WASA,BC,1983,7,2017,12,6.1,49.8,-115.6,97,n,n
126,1168880,WESTWOLD,BC,1921,5,2013,5,3.6,50.4,-119.7,60,n,n
127,1108910,WHITE_ROCK_CAMPBELL_,BC,1929,1,2019,12,26.3,49,-122.7,1,n,n
128,1098941,WILLIAMS_LAKE,BC,1939,1,2019,12,0.9,52.1,-122,94,y,n
129,11790J1,YOHO_PARK,BC,1974,1,2019,12,7.4,51.4,-116.3,160,y,n
130,2100184,BURWASH,YT,1966,10,2019,12,2.7,61.3,-139,80,y,y
131,2100301,CARMACKS,YT,1963,8,2019,12,12,62.1,-136.2,54,y,n
132,2100LRP,DAWSON,YT,1901,1,2019,12,1,64,-139.1,37,y,y
133,2100518,FARO_(AUT),YT,1977,12,2019,12,8.4,62.2,-133.3,71,y,y
134,2100630,HAINES_JUNCTION,YT,1944,10,2019,12,14.4,60.7,-137.5,59,n,y
135,2100660,IVVAVIK_NAT_PARK,YT,1995,7,2019,12,8.1,69.1,-140.1,24,n,n
136,2100682,KOMAKUK_BEACH,YT,1958,7,2018,6,9.9,69.6,-140.2,1,y,y
137,2100693,MACMILLAN_PASS,YT,1998,2,2019,12,10.2,63.2,-130,137,n,y
138,2100701,MAYO,YT,1924,10,2019,12,2.4,63.6,-135.8,50,y,y
139,2100805,OLD_CROW,YT,1951,9,2019,12,25.8,67.5,-139.8,25,y,y
140,2100880,PELLY_RANCH,YT,1955,1,2017,8,2.5,62.8,-137.3,44,n,y
141,2100941,ROSS_RIVER,YT,1961,12,2008,8,29.5,61.9,-132.4,69,y,n
142,2100950,SHINGLE_POINT,YT,1957,6,2019,12,10.6,68.9,-137.2,4,n,n
143,2101102,TESLIN,YT,1943,10,2019,12,7.2,60.1,-132.7,70,y,n
144,2101135,TUCHITUA,YT,1967,1,2014,9,26.2,60.9,-129.2,72,n,y
145,2101204,WATSON_LAKE,YT,1938,10,2019,12,0.9,60.1,-128.8,68,y,y
146,2101310,WHITEHORSE,YT,1959,2,2019,12,5.8,60.7,-135.1,70,y,y
147,2101303,WHITEHORSE_A,YT,1942,4,2019,12,2.6,60.7,-135,70,y,n
148,2200675,CAPE_PARRY,NWT,1957,5,2019,12,4.2,70.1,-124.7,8,n,y
