SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
CZ-BK1,Bily Kriz forest,CC-BY-4.0,,49.5021,18.5369,875,ENF,6.7,1316
CZ-BK2,Bily Kriz grassland,CC-BY-4.0,,49.4944,18.5429,855,GRA,6.7,1316
CZ-wet,Trebon (CZECHWET),CC-BY-4.0,,49.0247,14.7704,426,WET,7.7,604
DE-Akm,Anklam,CC-BY-4.0,,53.8662,13.6834,-1,WET,8.7,558
DE-Dgw,Dagowsee,,CC-BY-4.0,53.1514,13.0543,60,WAT,9.02,602.9
DE-Geb,Gebesee,CC-BY-4.0,,51.0997,10.9146,161.5,CRO,8.5,470
DE-Gri,Grillenburg,CC-BY-4.0,,50.95,13.5126,385,GRA,7.8,901
DE-Hai,Hainich,CC-BY-4.0,,51.0792,10.4522,430,DBF,8.3,720
DE-Hte,Huetelmoor,,CC-BY-4.0,54.2103,12.1761,0.2,WET,9.2,645
DE-Kli,Klingenberg,CC-BY-4.0,,50.8931,13.5224,478,CRO,7.6,842
DE-Lkb,Lackenberg,CC-BY-4.0,,49.0996,13.3047,1308,ENF,4,1599
DE-Lnf,Leinefelde,CC-BY-4.0,,51.3282,10.3678,451,DBF,6.96,894.6
DE-Obe,Oberbärenburg,CC-BY-4.0,,50.7867,13.7213,734,ENF,5.5,996
DE-RuR,Rollesbroich,CC-BY-4.0,,50.6219,6.3041,514.7,GRA,7.7,1033
DE-RuS,Selhausen Juelich,CC-BY-4.0,,50.8659,6.4471,102.755,CRO,10,700
DE-Seh,Selhausen,CC-BY-4.0,,50.8706,6.4497,103,CRO,9.9,693
DE-SfN,Schechenfilz Nord,CC-BY-4.0,CC-BY-4.0,47.8064,11.3275,590,WET,8.6,1127
DE-Spw,Spreewald,CC-BY-4.0,,51.8922,14.0337,61,WET,8.7,558
DE-Tha,Tharandt,CC-BY-4.0,,50.9626,13.5651,385,ENF,8.2,843
DE-Zrk,Zarnekow,CC-BY-4.0,CC-BY-4.0,53.8759,12.889,0,WET,8.7,584
DK-Eng,Enghave,CC-BY-4.0,,55.6905,12.1918,10,GRA,8,613
DK-Fou,Foulum,CC-BY-4.0,,56.4842,9.5872,51,CRO,8,
DK-Sor,Soroe,CC-BY-4.0,,55.4859,11.6446,40,DBF,8.2,660
ES-Amo,Amoladeras,CC-BY-4.0,,36.8336,-2.2523,58,OSH,,0
ES-LJu,Llano de los Juanes,CC-BY-4.0,,36.9266,-2.7521,1600,OSH,16,400
ES-LgS,Laguna Seca,CC-BY-4.0,,37.0979,-2.9658,2267,OSH,,
ES-Ln2,Lanjaron-Salvage logging,CC-BY-4.0,,36.9695,-3.4758,2249,OSH,,
FI-Hyy,Hyytiala,CC-BY-4.0,CC-BY-4.0,61.8474,24.2948,181,ENF,3.8,709
FI-Jok,Jokioinen,CC-BY-4.0,,60.8986,23.5134,109,CRO,4.6,627
FI-Let,Lettosuo,CC-BY-4.0,,60.6418,23.9595,111,ENF,4.6,627
FI-Lom,Lompolojankka,CC-BY-4.0,CC-BY-4.0,67.9972,24.2092,274,WET,-1.4,484
FI-Si2,Siikaneva-2 Bog,,CC-BY-4.0,61.8372,24.1967,160,WET,3.5,701
FI-Sii,Siikaneva,,CC-BY-4.0,61.8327,24.1928,160,WET,3.5,701
